NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
4 Odessa Ave (2),4 Odessa Ave,Old Orchard Beach,04064,2550,3.0,15.0,A,912
163 Warren St #2,163 Warren St #2,Bangor,04401,1250,2.0,1.0,0,350
35 Bucksport Rd APT 4,35 Bucksport Rd APT 4,Ellsworth,04605,1499,1.0,1.0,0,1000
192 Mount Vernon Ave #1,192 Mount Vernon Ave #1,Augusta,04330,1575,2.0,1.0,0,900
3 Macmillan Dr,3 Macmillan Dr,Orono,04473,1650,2.0,1.0,0,1500
179 Congress St (1),179 Congress St,Portland,04101,2450,2.0,1.0,3,1000
179 Congress St (2),179 Congress St,Portland,04101,3000,2.0,1.0,2,1100
1 Flagg St #3,1 Flagg St #3,Augusta,04330,1575,2.0,1.0,0,1200
128-130 Hammond Street (1),128 Hammond St,Bangor,04401,1400,1.0,1.0,1,750
128-130 Hammond Street (2),128 Hammond St,Bangor,04401,1400,1.0,1.0,8,750
128-130 Hammond Street (3),128 Hammond St,Bangor,04401,1400,1.0,1.0,13,1000
72 Center Street Ave #4,72 Center Street Ave #4,Bangor,04401,1475,2.0,1.0,0,1400
18 Mariners Reach,18 Mariners Reach,Sullivan,04664,1800,2.0,1.0,0,1723
161 Saco Ave (1),161 Saco Ave,Old Orchard Beach,04064,1975,2.0,2.0,0,1100
161 Saco Ave (2),161 Saco Ave,Old Orchard Beach,04064,2250,2.0,2.0,0,1100
6 Winter St #2,6 Winter St #2,Houlton,04730,1200,2.0,1.0,0,1000
340 Water St,340 Water St,Hallowell,04347,1600,1.0,1.0,0,1000
5 Hackett Rd #2,5 Hackett Rd #2,Winterport,04496,1650,2.0,1.0,0,750
321 Christian Hill Rd,321 Christian Hill Rd,Lovell,04051,1800,2.0,1.0,0,625
5 Atlantic Ave,5 Atlantic Ave,Stonington,04681,1900,2.0,2.0,0,1850
938 Bridgton Rd #1,938 Bridgton Rd #1,Westbrook,04092,2600,3.0,2.0,0,1400
10 Hillcrest Avenue (1),NONE,NONE,NONE,1700,1.0,1.0,2B,525
10 Hillcrest Avenue (2),NONE,NONE,NONE,1700,1.0,1.0,2A,620
10 Hillcrest Avenue (3),NONE,NONE,NONE,2300,4.0,1.0,1,1850
111 Main St #1,111 Main St #1,East Millinocket,04430,1100,2.0,1.0,0,0
267 Montieth Rd,267 Montieth Rd,Bridgewater,04735,2800,3.0,1.0,0,0
34 Winter St #B,34 Winter St #B,Topsham,04086,1650,2.0,1.0,0,1500
17 Walter St APT 2,17 Walter St APT 2,Bangor,04401,1075,1.0,1.0,0,600
15 Lincoln St (1),15 Lincoln St,Brunswick,04011,1800,1.0,1.0,3,750
15 Lincoln St (2),15 Lincoln St,Brunswick,04011,2200,2.0,1.0,2,850
28 Miller Ave #2,28 Miller Ave #2,Biddeford,04005,2350,3.0,1.0,0,1200
340 State St,340 State St,Bangor,04401,4200,6.0,2.0,0,2577
9 Pleasant Wood Dr #202,9 Pleasant Wood Dr #202,Augusta,04330,1875,2.0,1.0,0,1025
2959 Us Highway 2,2959 Us Highway 2,Bangor,04401,2300,3.0,2.0,0,0
1627 Union St,1627 Union St,Bangor,04401,1600,2.0,1.0,0,1200
1473 Us Route 1 #2,1473 Us Route 1 #2,Freeport,04032,2900,3.0,2.0,0,1000
6 Webbs Mills Rd #2,6 Webbs Mills Rd #2,Casco,04015,2000,2.0,1.0,0,850
47 Glenridge,47 Glenridge,Portland,04102,3000,2.0,1.0,0,0
28 Veranda St #1,28 Veranda St #1,Portland,04103,2200,2.0,1.0,0,0
2 New Gorham Rd APT 2,2 New Gorham Rd APT 2,Westbrook,04092,2800,3.0,2.0,0,1278
44 North St #2,44 North St #2,Westbrook,04092,2800,3.0,1.0,0,1200
20 Pine St #1,20 Pine St #1,Portland,04102,2700,2.0,1.0,0,850
19 Mill Commons Dr,19 Mill Commons Dr,Scarborough,04074,4000,2.0,2.0,0,1563
(Undisclosed Address),(Undisclosed Address),Lewiston,04240,1600,2.0,2.0,0,1200
3 Pinette Ave,3 Pinette Ave,Biddeford,04005,1800,2.0,1.0,0,850
(Undisclosed Address),(Undisclosed Address),Ellsworth,04605,1800,2.0,1.0,0,900
326 Long Sands Rd #B,326 Long Sands Rd #B,York,03909,2000,3.0,2.0,0,1176
114 Howe St APT 4,114 Howe St APT 4,Lewiston,04240,1400,3.0,1.0,0,1500
72 Sabattus St APT 10,72 Sabattus St APT 10,Lewiston,04240,1030,1.0,1.0,0,0
11 James St,11 James St,Rockland,04841,2500,2.0,1.0,0,1200
109 Oak Hill Rd,109 Oak Hill Rd,Auburn,04210,2767,4.0,3.0,0,1551
9 Beach Ave #1,9 Beach Ave #1,Kennebunk,04043,2800,2.0,2.0,0,1120
352 Saint Thomas St #7,352 Saint Thomas St #7,Madawaska,04756,1200,2.0,1.0,0,1000
8 Page St (1),8 Page St,Brunswick,04011,2000,2.0,1.0,3,800
8 Page St (2),8 Page St,Brunswick,04011,2500,3.0,1.0,0,1200
8 Page St (3),8 Page St,Brunswick,04011,2650,3.0,15.0,1,1400
3 Page St #3,3 Page St #3,Bath,04530,1200,1.0,1.0,0,550
121 Middle St APT 2,121 Middle St APT 2,Farmington,04938,2000,4.0,1.0,0,0
42 Spruce St #1,42 Spruce St #1,Sanford,04073,1325,1.0,1.0,0,0
206 Maple St #206,206 Maple St #206,Bangor,04401,2800,2.0,1.0,0,1821
20 Seacliff Ave #1,20 Seacliff Ave #1,Old Orchard Beach,04064,2500,2.0,1.0,0,1100
(Undisclosed Address),(Undisclosed Address),Shapleigh,04076,2300,2.0,1.0,0,1030
303 McCard Rd,303 McCard Rd,Corinth,04427,1800,2.0,1.0,0,0
21 Mill Rd #2,21 Mill Rd #2,Falmouth,04105,2000,1.0,1.0,0,500
