NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
Foreside Estates (1),100 Clearwater Dr,Falmouth,04105,2400,2.0,1.0,1-075,858
Foreside Estates (2),100 Clearwater Dr,Falmouth,04105,2550,2.0,2.0,1-078,1476
Foreside Estates (3),100 Clearwater Dr,Falmouth,04105,2650,2.0,2.5,1-126,1216
Foreside Estates (4),100 Clearwater Dr,Falmouth,04105,2850,2.0,2.0,1-076,1476
Foreside Estates (5),100 Clearwater Dr,Falmouth,04105,2950,2.0,2.5,1_149,1216
Foreside Estates (6),100 Clearwater Dr,Falmouth,04105,3200,2.0,2.5,1-135,1216
Riverdam (1),24-28 Pearl St,Biddeford,04005,1875,1.0,1.0,202,708
Riverdam (2),24-28 Pearl St,Biddeford,04005,2095,1.0,1.0,214,725
Riverdam (3),24-28 Pearl St,Biddeford,04005,2195,1.0,1.0,113,811
Riverdam (4),24-28 Pearl St,Biddeford,04005,2255,1.0,1.0,121,821
Riverdam (5),24-28 Pearl St,Biddeford,04005,2295,1.0,1.0,107,837
Riverdam (6),24-28 Pearl St,Biddeford,04005,2395,1.0,1.5,301,741
Riverdam (7),24-28 Pearl St,Biddeford,04005,2495,1.0,1.0,305,1072
Cumberland Court (1),323 Husson Ave,Bangor,04401,1500,2.0,1.5,26,1302
Cumberland Court (2),323 Husson Ave,Bangor,04401,1650,2.0,1.5,19,1302
The Ledges (1),455 S Main St,Brewer,04412,1100,1.0,1.0,305,546
Edgelawn Duplexes (1),1-6 Edgelawn Rd,Harrington,04643,100,1.0,1.0,0,0
The Eleven (1),50 Laconia St,Biddeford,04005,1850,0,1.0,210,543
The Eleven (2),50 Laconia St,Biddeford,04005,2100,1.0,1.0,116,792
The Eleven (3),50 Laconia St,Biddeford,04005,2350,1.0,1.0,310,824
The Eleven (4),50 Laconia St,Biddeford,04005,2515,1.0,1.0,204,789
The Eleven (5),50 Laconia St,Biddeford,04005,2545,1.0,1.0,319,897
5 Brisson (1),5 Brisson St,Old Orchard Beach,04064,1795,1.0,1.0,14,320
Jonesboro Heights (1),1 Bagley Rd,Jonesboro,04648,100,1.0,1.0,0,0
Mill Stream Heights (1),20 Hillcrest Dr,Winter Harbor,04693,100,1.0,1.0,0,0
Mill Stream Heights (2),20 Hillcrest Dr,Winter Harbor,04693,100,2.0,1.0,0,0
The Exchange Building (1),27 State St,Bangor,04401,2250,1.0,1.0,604,758
The Exchange Building (2),27 State St,Bangor,04401,2250,1.0,1.0,202,700
The Exchange Building (3),27 State St,Bangor,04401,2550,1.0,1.0,203,756
Nightingale (1),144 State St,Portland,04101,1947,0,1.0,315,366
Nightingale (2),144 State St,Portland,04101,2272,1.0,1.0,413,541
Nightingale (3),144 State St,Portland,04101,2272,1.0,1.0,301,475
Nightingale (4),144 State St,Portland,04101,2272,1.0,1.0,414,453
Nightingale (5),144 State St,Portland,04101,2514,1.0,1.0,410,645
Nightingale (6),144 State St,Portland,04101,2521,1.0,1.0,408,620
Nightingale (7),144 State St,Portland,04101,2633,1.0,1.0,407,617
Nightingale (8),144 State St,Portland,04101,2719,1.0,1.0,411,661
Nightingale (9),144 State St,Portland,04101,2741,1.0,1.0,608,620
The Pilgrim (1),30 West St,Portland,04102,1650,1.0,1.0,5,450
The Pilgrim (2),30 West St,Portland,04102,1650,1.0,1.0,6,450
439 Congress Street (1),439 Congress St,Portland,04101,1140,1.0,1.0,0,232
439 Congress Street (2),439 Congress St,Portland,04101,1541,0,1.0,214,258
104 Oak St (1),104 Oak St,Portland,04101,1275,1.0,1.0,41,450
104 Oak St (2),104 Oak St,Portland,04101,1500,1.0,1.0,1,400
341 Cumberland Avenue (1),341 Cumberland Ave,Portland,04101,1606,1.0,1.0,1C,367
341 Cumberland Avenue (2),341 Cumberland Ave,Portland,04101,1663,1.0,1.0,14,519
Yarmouth Pointe Apartment Homes (1),1 Juniper Dr,Yarmouth,04096,1630,0,1.0,L013,602
Yarmouth Pointe Apartment Homes (2),1 Juniper Dr,Yarmouth,04096,1680,1.0,1.0,4601,630
Yarmouth Pointe Apartment Homes (3),1 Juniper Dr,Yarmouth,04096,1720,0,1.0,L047,602
Yarmouth Pointe Apartment Homes (4),1 Juniper Dr,Yarmouth,04096,1720,0,1.0,L055,602
Yarmouth Pointe Apartment Homes (5),1 Juniper Dr,Yarmouth,04096,1720,0,1.0,L009,602
Yarmouth Pointe Apartment Homes (6),1 Juniper Dr,Yarmouth,04096,1745,0,1.0,L043,602
Yarmouth Pointe Apartment Homes (7),1 Juniper Dr,Yarmouth,04096,1770,0,1.0,L025,602
Yarmouth Pointe Apartment Homes (8),1 Juniper Dr,Yarmouth,04096,1770,1.0,1.0,4204,630
Yarmouth Pointe Apartment Homes (9),1 Juniper Dr,Yarmouth,04096,1820,1.0,1.0,4224,750
Yarmouth Pointe Apartment Homes (10),1 Juniper Dr,Yarmouth,04096,1850,1.0,1.0,N11,600
Yarmouth Pointe Apartment Homes (11),1 Juniper Dr,Yarmouth,04096,1900,2.0,1.0,A003,735
Yarmouth Pointe Apartment Homes (12),1 Juniper Dr,Yarmouth,04096,1945,1.0,1.0,L046,830
Yarmouth Pointe Apartment Homes (13),1 Juniper Dr,Yarmouth,04096,2000,2.0,1.0,B009,920
Yarmouth Pointe Apartment Homes (14),1 Juniper Dr,Yarmouth,04096,2010,1.0,1.0,R07,800
Yarmouth Pointe Apartment Homes (15),1 Juniper Dr,Yarmouth,04096,2040,1.0,1.0,M04,800
1117 Bar Harbor Road - 8 (1),1117 Bar Harbor Rd,Trenton,04605,1200,2.0,1.0,8,0
14 Willow Street - 4 (1),14 Willow St,Old Town,04468,1070,1.0,1.0,4,0
91 Peabody Rd,91 Peabody Rd,Harpswell,04079,2850,3.0,2.0,0,1600
20 Garrison Cove Rd (1),20 Garrison Cove Rd,Bailey Island,04003,1800,1.0,1.0,B,500
20 Garrison Cove Rd (2),20 Garrison Cove Rd,Bailey Island,04003,2400,3.0,2.0,0,1500
0 Lake Rd #2,0 Lake Rd #2,Levant,04456,1900,2.0,1.0,0,0
