NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
Summit Terrace (7),"['111 Summit Ter', 'South Portland', '04106']",2515,2.0,1.0,70,950

Summit Terrace (8),"['111 Summit Ter', 'South Portland', '04106']",2528,2.0,1.0,59,950

Summit Terrace (9),"['111 Summit Ter', 'South Portland', '04106']",2529,2.0,1.0,42,950

Southwood Court Townhome Community (1),"['24 State St', 'Biddeford', '04005']",2200,2.0,1.5,25,1200

Cumberland Court (1),"['323 Husson Ave', 'Bangor', '04401']",1500,2.0,1.5,26,1302

Cumberland Court (2),"['323 Husson Ave', 'Bangor', '04401']",1650,2.0,1.5,19,1302

5 Brisson (1),"['5 Brisson St', 'Old Orchard Beach', '04064']",1795,1.0,1.0,14,320

Edgelawn Duplexes (1),"['1-6 Edgelawn Rd', 'Harrington', '04643']",100,1.0,1.0,0,0

Jonesboro Heights (1),"['1 Bagley Rd', 'Jonesboro', '04648']",100,1.0,1.0,0,0

Mill Stream Heights (1),"['20 Hillcrest Dr', 'Winter Harbor', '04693']",100,1.0,1.0,0,0

Mill Stream Heights (2),"['20 Hillcrest Dr', 'Winter Harbor', '04693']",100,2.0,1.0,0,0

The Exchange Building (1),"['27 State St', 'Bangor', '04401']",2250,1.0,1.0,604,758

The Exchange Building (2),"['27 State St', 'Bangor', '04401']",2250,1.0,1.0,202,700

The Exchange Building (3),"['27 State St', 'Bangor', '04401']",2550,1.0,1.0,203,756

Nightingale (1),"['144 State St', 'Portland', '04101']",1947,0,1.0,315,366

Nightingale (2),"['144 State St', 'Portland', '04101']",2272,1.0,1.0,413,541

Nightingale (3),"['144 State St', 'Portland', '04101']",2272,1.0,1.0,301,475

Nightingale (4),"['144 State St', 'Portland', '04101']",2272,1.0,1.0,414,453

Nightingale (5),"['144 State St', 'Portland', '04101']",2514,1.0,1.0,410,645

Nightingale (6),"['144 State St', 'Portland', '04101']",2521,1.0,1.0,408,620

Nightingale (7),"['144 State St', 'Portland', '04101']",2633,1.0,1.0,407,617

Nightingale (8),"['144 State St', 'Portland', '04101']",2719,1.0,1.0,411,661

Nightingale (9),"['144 State St', 'Portland', '04101']",2741,1.0,1.0,608,620

Lakeshore Apartments (Flagstaff) (1),"['42 Old Dead River Rd', 'Stratton', '04982']",100,1.0,1.0,0,0

Lakeshore Apartments (Flagstaff) (2),"['42 Old Dead River Rd', 'Stratton', '04982']",100,2.0,1.0,0,0

439 Congress Street (1),"['439 Congress St', 'Portland', '04101']",1266,0,1.0,316,440

439 Congress Street (2),"['439 Congress St', 'Portland', '04101']",1541,0,1.0,214,258

439 Congress Street (3),"['439 Congress St', 'Portland', '04101']",1793,1.0,1.0,308,576

The Pilgrim (1),"['30 West St', 'Portland', '04102']",1650,1.0,1.0,5,450

The Pilgrim (2),"['30 West St', 'Portland', '04102']",1650,1.0,1.0,6,450

104 Oak St (1),"['104 Oak St', 'Portland', '04101']",1275,1.0,1.0,41,450

104 Oak St (2),"['104 Oak St', 'Portland', '04101']",1500,1.0,1.0,1,400

341 Cumberland Avenue (1),"['341 Cumberland Ave', 'Portland', '04101']",1606,1.0,1.0,1C,367

341 Cumberland Avenue (2),"['341 Cumberland Ave', 'Portland', '04101']",1663,1.0,1.0,14,519

Yarmouth Pointe Apartment Homes (1),"['1 Juniper Dr', 'Yarmouth', '04096']",1630,0,1.0,L013,602

Yarmouth Pointe Apartment Homes (2),"['1 Juniper Dr', 'Yarmouth', '04096']",1685,1.0,1.0,4601,630

Yarmouth Pointe Apartment Homes (3),"['1 Juniper Dr', 'Yarmouth', '04096']",1710,2.0,1.0,4802,850

Yarmouth Pointe Apartment Homes (4),"['1 Juniper Dr', 'Yarmouth', '04096']",1725,0,1.0,L047,602

Yarmouth Pointe Apartment Homes (5),"['1 Juniper Dr', 'Yarmouth', '04096']",1725,0,1.0,L055,602

Yarmouth Pointe Apartment Homes (6),"['1 Juniper Dr', 'Yarmouth', '04096']",1725,0,1.0,L009,602

Yarmouth Pointe Apartment Homes (7),"['1 Juniper Dr', 'Yarmouth', '04096']",1750,0,1.0,L043,602

Yarmouth Pointe Apartment Homes (8),"['1 Juniper Dr', 'Yarmouth', '04096']",1765,2.0,1.0,A003,735

Yarmouth Pointe Apartment Homes (9),"['1 Juniper Dr', 'Yarmouth', '04096']",1775,0,1.0,L025,602

Yarmouth Pointe Apartment Homes (10),"['1 Juniper Dr', 'Yarmouth', '04096']",1775,1.0,1.0,4204,630

Yarmouth Pointe Apartment Homes (11),"['1 Juniper Dr', 'Yarmouth', '04096']",1825,1.0,1.0,4224,750

Yarmouth Pointe Apartment Homes (12),"['1 Juniper Dr', 'Yarmouth', '04096']",1855,1.0,1.0,N11,600

Yarmouth Pointe Apartment Homes (13),"['1 Juniper Dr', 'Yarmouth', '04096']",1865,2.0,1.0,B009,920

Yarmouth Pointe Apartment Homes (14),"['1 Juniper Dr', 'Yarmouth', '04096']",1905,2.0,1.0,4821,850

Yarmouth Pointe Apartment Homes (15),"['1 Juniper Dr', 'Yarmouth', '04096']",1945,1.0,1.0,L046,830

1117 Bar Harbor Road - 8 (1),"['1117 Bar Harbor Rd', 'Trenton', '04605']",1200,2.0,1.0,8,0

38 Veranda St #2,"['38 Veranda St #2', 'Portland', '04103']",1600,1.0,1.0,0,400

261 State St #6,"['261 State St #6', 'Portland', '04101']",1725,1.0,1.0,0,750

5 Boothbay Rd #15,"['5 Boothbay Rd #15', 'Edgecomb', '04556']",2700,3.0,2.0,0,1600

10 Colby Way - C (1),"['10 Colby Way', 'Ellsworth', '04605']",1695,2.0,1.0,0,0

398 Old County Rd #1,"['398 Old County Rd #1', 'Hampden', '04444']",1650,2.0,1.0,0,1100

3 Sweet Dr #1,"['3 Sweet Dr #1', 'Plymouth', '04969']",1800,3.0,1.0,0,1800

826 State St APT 5,"['826 State St APT 5', 'Bangor', '04401']",1625,2.0,1.0,0,1000

1-67 Elm St #1,"['1-67 Elm St #1', 'South Portland', '04106']",2950,2.0,1.0,0,1200

111 Bradley St APT 16,"['111 Bradley St APT 16', 'Saco', '04072']",2375,2.0,1.0,0,1214

84 Oak St,"['84 Oak St', 'Alfred', '04002']",2400,4.0,1.0,0,1628

41 Thornton Ave,"['41 Thornton Ave', 'Saco', '04072']",1400,1.0,1.0,0,350

10 Kendall Ln #1,"['10 Kendall Ln #1', 'Freeport', '04032']",1600,,1.0,0,700

3 Pond Rd #A,"['3 Pond Rd #A', 'Newcastle', '04553']",3700,3.0,2.0,0,2280

42 Bridge St #A,"['42 Bridge St #A', 'Topsham', '04086']",1900,2.0,1.0,0,1250

33 Elmwood St,"['33 Elmwood St', 'Portland', '04103']",2300,2.0,1.0,0,1000

(Undisclosed Address),"['(Undisclosed Address)', 'Bremen', '04551']",2800,3.0,2.0,0,2200

147 Pleasant Ave (1),"['147 Pleasant Ave', 'Portland', '04103']",2100,1.0,1.0,4,610

147 Pleasant Ave (2),"['147 Pleasant Ave', 'Portland', '04103']",2950,2.0,2.0,1,1160

33 George St #201,"['33 George St #201', 'Biddeford', '04005']",1950,3.0,1.0,0,975

628 Roosevelt Trl,"['628 Roosevelt Trl', 'Windham', '04062']",2550,3.0,2.0,0,1232

1 E Grand Ave (1),"['1 E Grand Ave', 'Old Orchard Beach', '04064']",2200,3.0,2.0,511,1460

1 E Grand Ave (2),"['1 E Grand Ave', 'Old Orchard Beach', '04064']",2300,2.0,2.0,301,1300

1 E Grand Ave (3),"['1 E Grand Ave', 'Old Orchard Beach', '04064']",2300,3.0,2.0,304,1648

67 & B Pembroke Dr #15-1,"['67 & B Pembroke Dr #15-1', 'Old Town', '04468']",1700,2.0,1.0,0,1080

