NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
(Undisclosed Address),"['(Undisclosed Address)', 'Portland', '04103']",3000,1.0,1.0,0,725

4 John Lane Way,"['4 John Lane Way', 'Saco', '04072']",2000,1.0,1.0,0,750

1749 Main St (1),"['1749 Main St', 'Sanford', '04073']",1475,2.0,1.0,38,0

1749 Main St (2),"['1749 Main St', 'Sanford', '04073']",1500,2.0,1.0,99,0

5 Green St #4,"['5 Green St #4', 'Houlton', '04730']",1100,2.0,1.0,0,790

843 Lincolnville Ave,"['843 Lincolnville Ave', 'Searsmont', '04973']",1500,1.0,1.0,0,900

125 Western Ave #1,"['125 Western Ave #1', 'Waterville', '04901']",1575,3.0,1.0,0,1300

12 Sleepy Hollow Dr,"['12 Sleepy Hollow Dr', 'Holden', '04429']",1350,2.0,2.0,0,784

132 3rd St APT 2,"['132 3rd St APT 2', 'Auburn', '04210']",1750,3.0,1.0,0,0

